epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.407,1.5796,1.86986,1.35895,0.29149,0.11519,0.09242,0.04551,1.78217,1.62361,1.25743,0.000665098,0.000665098,0.000665098
2,211.782,1.4846,1.44827,1.26505,0.34645,0.12176,0.10855,0.05544,1.69868,1.44787,1.18559,0.000892282,0.000892282,0.000892282
3,325.547,1.38553,1.34013,1.20685,0.35844,0.1327,0.12037,0.06195,1.61151,1.38358,1.11546,0.000679467,0.000679467,0.000679467
